,Sentences,Title,Harry Potter
0, dursley of number four privet drive were proud to say that they were perfectly normal thank you very much ,HP1,True
1, they were the last people youd expect to be involved in anything strange or mysteriou because they just didnt hold with such nonsense ,HP1,True
2, mr dursley wa the director of a firm called grunning which made drill ,HP1,True
3, he wa a big beefy man with hardly any neck although he did have a very large mustache ,HP1,True
4, dursley wa thin and blonde and had nearly twice the usual amount of neck which came in very useful a she spent so much of her time craning over garden fence spying on the neighbor ,HP1,True
5, the dursley had a small son called dudley and in their opinion there wa no finer boy anywhere ,HP1,True
6, the dursley had everything they wanted but they also had a secret and their greatest fear wa that somebody would discover it ,HP1,True
7, they didnt think they could bear it if anyone found out about the potter ,HP1,True
8, dursley sister but they hadnt met for several years; in fact mr ,HP1,True
9, dursley pretended she didnt have a sister because her sister and her good for nothing husband were a undursleyish a it wa possible to be ,HP1,True
10, the dursley shuddered to think what the neighbor would say if the potter arrived in the street ,HP1,True
11, the dursley knew that the potter had a small son too but they had never even seen him ,HP1,True
12, thi boy wa another good reason for keeping the potter away; they didnt want dudley mixing with a child like that ,HP1,True
13, dursley woke up on the dull gray tuesday our story start there wa nothing about the cloudy sky outside to suggest that strange and mysteriou thing would soon be happening all over the country ,HP1,True
14, mr dursley hummed a he picked out hi most boring tie for work and mr ,HP1,True
15, dursley gossiped away happily a she wrestled a screaming dudley into hi high chair ,HP1,True
16, none of them noticed a large tawny owl flutter past the window ,HP1,True
17, at half past eight mr dursley picked up hi briefcase pecked mr ,HP1,True
18, dursley on the cheek and tried to kis dudley good bye but missed because dudley wa now having a tantrum and throwing hi cereal at the wall ,HP1,True
19, little tyke chortled mr dursley a he left the house ,HP1,True
20, he got into hi car and backed out of number four drive ,HP1,True
21, it wa on the corner of the street that he noticed the first sign of something peculiar a cat reading a map ,HP1,True
22, for a second mr dursley didnt realize what he had seen then he jerked hi head around to look again ,HP1,True
23, there wa a tabby cat standing on the corner of privet drive but there wasnt a map in sight ,HP1,True
24, what could he have been thinking of ,HP1,True
25, it must have been a trick of the light ,HP1,True
26, mr dursley blinked and stared at the cat ,HP1,True
27, a mr dursley drove around the corner and up the road he watched the cat in hi mirror ,HP1,True
28, it wa now reading the sign that said privet drive no looking at the sign; cat couldnt read map or sign ,HP1,True
29, mr dursley gave himself a little shake and put the cat out of hi mind ,HP1,True
30, a he drove toward town he thought of nothing except a large order of drill he wa hoping to get that day ,HP1,True
31, but on the edge of town drill were driven out of hi mind by something else ,HP1,True
32, a he sat in the usual morning traffic jam he couldnt help noticing that there seemed to be a lot of strangely dressed people about ,HP1,True
33, mr dursley couldnt bear people who dressed in funny clothe the getup you saw on young people ,HP1,True
34, he supposed thi wa some stupid new fashion ,HP1,True
35, he drummed hi finger on the steering wheel and hi eye fell on a huddle of these weirdo standing quite close by ,HP1,True
36, they were whispering excitedly together ,HP1,True
37, mr dursley wa enraged to see that a couple of them werent young at all; why that man had to be older than he wa and wearing an emerald green cloak ,HP1,True
38, but then it struck mr dursley that thi wa probably some silly stunt these people were obviously collecting for something ,HP1,True
39, ye that would be it ,HP1,True
40, the traffic moved on and a few minute later mr dursley arrived in the grunning parking lot hi mind back on drill ,HP1,True
41, mr dursley alway sat with hi back to the window in hi office on the ninth floor ,HP1,True
42, if he hadnt he might have found it harder to concentrate on drill that morning ,HP1,True
43, he didnt see the owl swooping past in broad daylight though people down in the street did; they pointed and gazed open mouthed a owl after owl sped overhead ,HP1,True
44, most of them had never seen an owl even at nighttime ,HP1,True
45, mr dursley however had a perfectly normal owl free morning ,HP1,True
46, he yelled at five different people ,HP1,True
47, he made several important telephone call and shouted a bit more ,HP1,True
48, he wa in a very good mood until lunchtime when he thought hed stretch hi leg and walk acros the road to buy himself a bun from the bakery ,HP1,True
49, hed forgotten all about the people in cloak until he passed a group of them next to the baker ,HP1,True
50, he eyed them angrily a he passed ,HP1,True
51, he didnt know why but they made him uneasy ,HP1,True
52, thi bunch were whispering excitedly too and he couldnt see a single collecting tin ,HP1,True
53, it wa on hi way back past them clutching a large doughnut in a bag that he caught a few word of what they were saying ,HP1,True
54, the potter that right that what i heard  ye their son harry mr dursley stopped dead ,HP1,True
55, he looked back at the whisperer a if he wanted to say something to them but thought better of it ,HP1,True
