Word,Count
mr,523
and,9351
dursley,131
of,6076
number,346
four,94
privet,23
drive,43
were,1182
proud,16
to,7798
say,322
that,3484
they,1472
perfectly,13
normal,21
thank,74
you,3044
very,557
much,324
the,14463
last,289
people,219
youd,56
expect,32
be,1732
involved,6
in,4221
anything,211
strange,106
or,614
mysteriou,14
because,200
just,509
didnt,350
hold,69
with,2023
such,234
nonsense,12
wa,4092
a,8608
firm,9
called,119
which,746
made,306
drill,7
he,5324
big,83
man,268
hardly,63
any,367
neck,65
although,27
did,438
have,1471
large,157
mustache,8
thin,54
had,2262
nearly,117
twice,32
usual,71
amount,12
came,411
useful,21
she,1201
spent,21
so,1456
her,1391
time,694
craning,5
over,656
garden,26
on,2178
neighbor,5
small,115
son,47
dudley,176
their,591
opinion,13
there,1258
no,830
boy,166
anywhere,28
everything,93
wanted,123
but,1930
also,72
secret,86
greatest,17
fear,167
somebody,10
would,613
discover,5
it,4527
think,490
could,805
bear,32
if,1036
anyone,84
found,248
out,1150
about,606
potter,239
sister,34
hadnt,99
met,66
for,2168
several,55
fact,78
pretended,7
good,372
nothing,204
husband,49
possible,44
shuddered,11
what,1173
arrived,47
street,48
knew,233
too,403
never,350
even,407
seen,185
him,1837
thi,1024
another,191
reason,63
keeping,33
want,261
child,63
like,635
when,1053
woke,38
up,1149
dull,15
gray,35
our,466
story,43
start,69
cloudy,5
sky,40
outside,104
suggest,8
thing,441
soon,88
happening,19
all,1780
country,22
picked,28
hi,3325
most,141
boring,9
tie,10
work,196
away,322
happily,18
screaming,9
into,773
high,105
chair,58
none,60
them,1067
noticed,70
owl,87
past,107
window,212
at,2280
half,148
eight,24
cheek,29
tried,157
kis,17
bye,18
missed,16
now,697
having,61
throwing,19
wall,154
little,265
left,227
house,275
got,521
car,122
backed,18
corner,80
first,303
sign,71
something,341
peculiar,10
cat,65
reading,33
map,13
second,138
realize,24
then,815
jerked,14
head,358
around,354
look,442
again,419
standing,72
wasnt,139
sight,97
been,802
thinking,61
must,508
trick,9
light,151
blinked,13
stared,68
back,769
drove,27
road,46
watched,51
mirror,60
said,2522
looking,320
couldnt,167
read,145
gave,148
himself,231
shake,14
put,200
mind,183
toward,176
town,26
thought,329
except,70
order,43
hoping,18
get,496
day,319
edge,53
driven,12
by,774
else,101
sat,142
morning,141
traffic,6
help,153
noticing,18
seemed,343
lot,96
strangely,17
dressed,17
cloak,86
who,685
funny,53
clothe,22
saw,344
young,67
supposed,34
some,529
stupid,33
new,178
fashion,12
finger,66
steering,10
wheel,21
eye,462
fell,133
these,163
quite,156
close,103
whispering,8
excitedly,13
together,108
see,693
couple,20
werent,44
why,230
older,9
than,386
wearing,43
an,661
emerald,10
green,70
nerve,26
struck,36
probably,39
silly,7
obviously,24
collecting,6
ye,146
moved,71
few,172
minute,137
later,152
alway,130
office,53
floor,149
might,246
harder,18
swooping,5
broad,14
daylight,11
though,388
down,565
pointed,79
gazed,9
open,213
mouthed,6
after,322
sped,17
overhead,24
however,160
free,61
yelled,39
five,76
different,50
important,33
telephone,10
call,87
shouted,74
bit,129
more,552
mood,20
until,121
hed,198
stretch,8
leg,65
walk,44
acros,96
buy,31
from,1074
forgotten,39
passed,86
group,14
next,209
eyed,15
angrily,23
know,790
uneasy,10
bunch,8
single,25
way,414
clutching,18
bag,65
caught,88
word,191
saying,112
right,349
i,7409
heard,241
harry,2975
stopped,105
dead,145
flooded,6
looked,478
better,159
dashed,17
hurried,54
snapped,42
not,1705
disturb,12
seized,43
almost,147
finished,51
home,128
changed,26
stroked,6
being,144
unusual,15
name,105
sure,134
come,535
point,119
upset,33
mention,18
blame,10
same,154
those,123
afternoon,40
building,11
oclock,19
still,318
worried,26
walked,98
straight,73
someone,89
door,448
sorry,61
grunted,11
tiny,38
old,281
stumbled,7
before,432
realized,38
violet,7
seem,178
knocked,41
ground,123
face,427
split,13
wide,64
smile,73
voice,236
stare,18
dont,293
my,1396
dear,249
sir,164
me,1782
today,91
ha,413
gone,147
muggle,114
yourself,39
should,234
celebrating,5
happy,64
hugged,5
middle,29
off,502
stood,154
spot,29
complete,22
stranger,25
whatever,38
rattled,7
set,122
imagining,6
hoped,14
imagination,9
pulled,118
spotted,22
sitting,79
loudly,58
move,74
stern,17
wondered,27
trying,145
pull,24
let,308
determined,22
wife,43
nice,44
told,310
dinner,55
problem,16
daughter,13
how,483
learned,30
act,37
normally,5
bed,187
went,412
living,29
room,412
catch,50
report,25
evening,63
finally,49
bird,38
everywhere,17
reported,14
nation,5
unusually,5
hunt,15
night,286
are,748
ever,234
hundred,69
flying,44
every,159
direction,37
since,116
sunrise,23
unable,15
explain,34
suddenly,162
sleeping,34
allowed,29
grin,12
weather,13
going,300
tonight,105
well,509
only,471
acting,9
far,143
apart,23
tell,336
instead,44
rain,18
promised,9
yesterday,32
theyve,11
shooting,12
perhap,79
early,43
week,78
can,525
promise,33
wet,17
frozen,5
armchair,11
star,21
place,219
whisper,31
carrying,32
two,295
cup,37
tea,45
cleared,19
throat,52
nervously,28
er,48
petunia,87
havent,54
your,587
lately,12
expected,45
shocked,20
angry,41
sharply,21
stuff,38
mumbled,9
maybe,47
do,751
crowd,70
through,470
lip,82
whether,38
dared,13
decided,29
dare,39
casually,7
age,47
wouldnt,86
suppose,85
stiffly,7
isnt,38
nasty,23
common,77
ask,140
oh,289
heart,181
sinking,14
horribly,13
agree,11
subject,41
upstair,26
while,154
bathroom,40
crept,15
bedroom,20
peered,16
front,141
staring,60
waiting,66
pair,47
asleep,71
quickly,125
lay,99
awake,42
turning,49
comforting,7
near,73
kind,89
mixed,10
turned,224
affect,6
wrong,62
drifting,7
sleep,213
showing,24
statue,16
fixed,40
quiver,7
slammed,15
nor,39
swooped,15
midnight,28
appeared,45
watching,59
silently,18
tail,30
twitched,7
narrowed,6
tall,30
silver,62
hair,112
beard,19
both,151
long,312
enough,139
belt,9
robe,81
purple,25
swept,35
boot,14
blue,37
bright,57
behind,217
moon,30
spectacle,6
nose,92
crooked,8
broken,61
least,64
albu,18
dumbledore,317
where,399
busy,23
other,391
end,181
chuckled,9
muttered,50
known,40
inside,116
pocket,51
flicked,8
held,103
air,120
clicked,13
nearest,16
lamp,46
pop,7
flickered,6
darkn,42
twelve,32
outer,6
whole,138
distance,19
beady,5
able,108
slipped,25
moment,204
spoke,109
fancy,12
seeing,42
here,480
professor,499
mcgonagall,191
smiling,34
rather,59
woman,70
square,11
glasse,48
exactly,63
shape,22
one,917
black,149
drawn,23
tight,22
distinctly,7
ruffled,6
asked,232
ive,155
sit,48
stiff,12
brick,5
dozen,15
feast,26
partie,6
sniffed,6
everyone,106
impatiently,11
theyd,50
careful,31
dursleys,13
dark,215
theyre,70
completely,23
bound,24
notice,41
ill,122
bet,34
diggle,5
sense,30
cant,119
gently,28
weve,80
preciou,13
eleven,22
year,208
irritably,6
lose,34
rumor,10
threw,77
sharp,45
sideway,13
glance,18
fine,36
disappeared,35
u,535
really,146
certainly,37
we,1710
care,75
lemon,8
drop,28
sweet,72
im,229
fond,7
coldly,12
surely,33
person,43
proper,12
voldemort,63
keep,172
frightened,20
sounding,13
youre,125
calmly,15
power,92
will,587
noble,24
use,85
lucky,19
madam,158
pomfrey,43
liked,21
earmuff,7
shot,44
reached,89
anxiou,32
discus,5
real,45
cold,95
hard,120
neither,27
piercing,10
plain,8
believe,119
true,77
answer,72
pressed,23
hollow,17
find,212
lily,8
jame,5
bowed,25
gasped,33
shoulder,81
heavily,20
trembled,11
kill,69
somehow,38
broke,39
nodded,39
done,191
killed,30
stop,104
heaven,13
gu,23
may,385
handkerchief,7
beneath,22
great,286
took,312
golden,29
watch,93
examined,11
odd,41
hand,495
